AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,VALUE,POS_C,POS_PF,POS_PG,POS_SF,POS_SG
27,74.42857142857143,47.642857142857146,23.90127931769723,3.462366737739872,7.858422174840085,0.4355438278548514,1.1794243070362471,3.2878464818763327,0.3561494310020992,2.254371002132196,4.599147121535181,0.4911214553237025,0.5092426988293131,1.324946695095949,1.773134328358209,0.737111344537815,0.3524520255863539,3.906396588486141,4.258848614072495,1.8637526652452023,1.0816631130063967,0.4477611940298507,1.5249466950959487,2.074946695095949,9.371961620469085,2.1075610196355834,0,0,0,1,0
24,58.57142857142857,9.285714285714286,19.37142857142857,2.8142857142857145,6.864285714285714,0.4181428571428571,1.1785714285714286,3.571428571428572,0.3409285714285714,1.6357142857142857,3.321428571428572,0.5050714285714285,0.5077142857142858,1.25,1.45,0.8620714285714286,0.1357142857142857,1.6571428571428573,1.8285714285714287,1.2142857142857142,0.3785714285714285,0.1285714285714286,0.7071428571428571,1.1928571428571428,8.12857142857143,3.6481706623004646,0,0,0,0,1
31,62.42857142857143,62.42857142857143,31.55714285714286,5.564285714285715,9.214285714285714,0.6102142857142857,0.0,0.0714285714285714,0.1632857142857142,5.557142857142858,9.142857142857142,0.6145714285714285,0.6109285714285715,3.471428571428571,6.835714285714286,0.5042857142857143,3.192857142857143,8.264285714285716,11.457142857142856,1.3714285714285714,0.9,1.5285714285714285,2.5071428571428567,3.1785714285714284,14.62857142857143,3.77967217624942,1,0,0,0,0
31,57.285714285714285,17.928571428571427,17.522776280323452,2.641374663072777,6.039757412398921,0.4349904632152589,0.4123989218328842,1.3470350404312668,0.2010776711788671,2.259299191374663,4.726684636118598,0.4785173529187914,0.4722131179447256,1.3159029649595688,1.669811320754717,0.7785697914871618,1.3390835579514826,3.590970350404312,4.925202156334232,0.7725067385444744,0.3715633423180593,0.4490566037735849,0.7288409703504043,1.8556603773584908,7.04366576819407,-1.9980890615981115,0,1,0,0,0
25,42.21428571428572,11.5,16.77857142857143,1.7285714285714284,4.771428571428571,0.3637142857142857,0.3785714285714286,1.5571428571428572,0.2069285714285714,1.342857142857143,3.2428571428571438,0.417,0.3998571428571428,1.207142857142857,1.6428571428571428,0.7362857142857143,0.5214285714285714,2.757142857142857,3.25,1.0142857142857142,0.4642857142857143,0.3928571428571428,0.5785714285714285,1.542857142857143,5.1000000000000005,-5.753584233547394,0,1,0,0,0
31,78.21428571428571,78.14285714285714,32.75714285714286,6.192857142857143,13.12142857142857,0.4710714285714285,0.9642857142857144,2.9285714285714284,0.3323571428571429,5.228571428571428,10.228571428571428,0.5105000000000001,0.5082142857142857,3.721428571428571,4.9071428571428575,0.7551428571428571,2.2357142857142853,6.385714285714286,8.621428571428572,3.2285714285714286,1.792857142857143,1.4285714285714286,2.378571428571429,2.864285714285714,17.04285714285714,5.665168640008176,0,1,0,0,0
25,51.42857142857143,2.2857142857142856,10.414285714285716,1.5500000000000005,2.957142857142857,0.5089285714285714,0.1857142857142857,0.6357142857142858,0.3148571428571428,1.3642857142857143,2.3857142857142857,0.5595,0.5422857142857143,0.5428571428571428,0.6714285714285714,0.8339285714285715,0.8214285714285714,1.45,2.3285714285714287,0.5857142857142856,0.2571428571428572,0.5,0.5071428571428571,1.25,3.792857142857143,0.4798626231458217,1,0,0,0,0
32,44.85714285714285,1.7857142857142858,20.83540903540904,3.698483923483923,8.52098087098087,0.4343315494372327,0.9986772486772486,2.721550671550671,0.3770491837045604,2.6998066748066742,5.799430199430199,0.4606745083828272,0.4940488330580885,1.506074481074481,1.764316239316239,0.8538260140521535,0.2764957264957264,1.8847273097273096,2.161223036223036,1.4216524216524211,0.4707061457061456,0.0,0.8849613349613349,1.4486263736263736,9.921448921448922,-8.995599927560392,0,0,0,0,1
23,76.92857142857143,6.714285714285714,19.61428571428572,3.8,9.028571428571428,0.42,0.8571428571428571,2.5357142857142856,0.3242857142857143,3.007142857142857,6.5,0.4575714285714286,0.4652142857142857,1.7428571428571429,2.2,0.7929285714285715,0.3142857142857143,2.007142857142857,2.357142857142857,4.135714285714285,0.7714285714285714,0.0928571428571428,2.107142857142857,1.6285714285714283,10.19285714285714,4.294805251269411,0,0,1,0,0
28,73.35714285714286,0.4285714285714285,15.871428571428572,2.607142857142857,5.692857142857143,0.4619285714285714,0.8571428571428571,2.3285714285714287,0.3724285714285714,1.75,3.335714285714286,0.5237857142857143,0.5397142857142858,0.7999999999999999,0.95,0.7924285714285715,0.7071428571428571,2.142857142857143,2.821428571428572,1.0214285714285716,0.3357142857142857,0.1357142857142857,0.6285714285714284,1.35,6.9,-5.086048718726344,0,1,0,0,0
